STATENAME,URL,WEBSITE,ACTIVITYESTIMATE,WEEKEND,WEEK,SEASON
New Mexico,https://nmhealth.org/about/erd/ideb/isp/,"Flu in New Mexico",Sporadic,Oct-26-2019,43,2019-20
New York,http://www.health.ny.gov/diseases/communicable/influenza/surveillance/,"Influenza Activity, Surveillance and Reports",Sporadic,Oct-26-2019,43,2019-20
North Carolina,http://www.flu.nc.gov/%20,"North Carolina Influenza Update",Sporadic,Oct-26-2019,43,2019-20
North Dakota,http://www.ndflu.com/default.aspx,"Influenza",Sporadic,Oct-26-2019,43,2019-20
Ohio,http://www.flu.ohio.gov%20,"Influenza Information",Sporadic,Oct-26-2019,43,2019-20
Oklahoma,https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html,"Influenza Information",Sporadic,Oct-26-2019,43,2019-20
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,"Influenza Disease Surveillance Data",Sporadic,Oct-26-2019,43,2019-20
Pennsylvania,https://www.health.pa.gov/topics/disease/Flu/Pages/Flu.aspx%20,"Influenza Weekly Report ",Sporadic,Oct-26-2019,43,2019-20
Rhode Island,http://www.health.ri.gov/data/flu/index.php,"Influenza Surveillance",No Activity,Oct-26-2019,43,2019-20
South Carolina,http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/,"Influenza Activity and Surveillance",Sporadic,Oct-26-2019,43,2019-20
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,"Influenza Information",Sporadic,Oct-26-2019,43,2019-20
Tennessee,http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html,"Influenza-Like Illness Surveillance Summary Archive",Local Activity,Oct-26-2019,43,2019-20
Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,"Influenza Surveillance",Local Activity,Oct-26-2019,43,2019-20
Utah,http://health.utah.gov/epi/diseases/influenza/surveillance/index.html,"Seasonal Influenza Weekly Update",Sporadic,Oct-26-2019,43,2019-20
Vermont,http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance,"Flu Activity",Sporadic,Oct-26-2019,43,2019-20
Virginia,http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/,"Virginia Weekly Influenza Activity Report",Sporadic,Oct-26-2019,43,2019-20
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,"Influenza Update",Sporadic,Oct-26-2019,43,2019-20
West Virginia,https://oeps.wv.gov/flu/pages/flu_data.aspx,"Current Influenza Surveillance",Sporadic,Oct-26-2019,43,2019-20
Wisconsin,http://www.dhs.wisconsin.gov/communicable/influenza/index.htm,"Tracking Influenza in Wisconsin",Sporadic,Oct-26-2019,43,2019-20
Wyoming,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/,"Influenza",Sporadic,Oct-26-2019,43,2019-20
Puerto Rico,http://www.salud.gov.pr/Estadisticas-Registros-y-Publicaciones/Pages/Influenza.aspx,"Puerto Rico Departamento de Salud",Sporadic,Oct-26-2019,43,2019-20
Virgin Islands,http://doh.vi.gov/,"Influenza",Sporadic,Oct-26-2019,43,2019-20
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Nov-02-2019,44,2019-20
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Nov-02-2019,44,2019-20
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Local Activity,Nov-02-2019,44,2019-20
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations",Sporadic,Nov-02-2019,44,2019-20
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)",Local Activity,Nov-02-2019,44,2019-20
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance",Sporadic,Nov-02-2019,44,2019-20
Connecticut,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,"Flu Statistics",Sporadic,Nov-02-2019,44,2019-20
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports",Sporadic,Nov-02-2019,44,2019-20
District of Columbia,https://dchealth.dc.gov/flu%20,"Influenza Information",Sporadic,Nov-02-2019,44,2019-20
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports",Local Activity,Nov-02-2019,44,2019-20
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia",Local Activity,Nov-02-2019,44,2019-20
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,"Hawaii's Influenza Surveillance Program",Sporadic,Nov-02-2019,44,2019-20
Idaho,http://flu.idaho.gov,"Influenza",Sporadic,Nov-02-2019,44,2019-20
Illinois,http://www.dph.illinois.gov/topics-services/diseases-and-conditions/influenza/influenza-surveillance,"Seasonal Influenza Surveillance Reports",Local Activity,Nov-02-2019,44,2019-20
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Local Activity,Nov-02-2019,44,2019-20
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Sporadic,Nov-02-2019,44,2019-20
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Sporadic,Nov-02-2019,44,2019-20
Kentucky,https://chfs.ky.gov/agencies/dph/dehp/idb/Pages/influenza.aspx,"Influenza - Flu",Local Activity,Nov-02-2019,44,2019-20
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Widespread,Nov-02-2019,44,2019-20
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,"Weekly Surveillance Updates",Sporadic,Nov-02-2019,44,2019-20
Maryland,https://phpa.health.maryland.gov/influenza/fluwatch,"Influenza Surveillance",Widespread,Nov-02-2019,44,2019-20
Massachusetts,https://www.mass.gov/influenza,"Influenza Surveillance Data",Local Activity,Nov-02-2019,44,2019-20
Michigan,http://www.michigan.gov/mdch/0%252c1607%252c7-132-2940_2955_22779_40563_48357-191722--%252c00.html,"Influenza Activity and Surveillance",Sporadic,Nov-02-2019,44,2019-20
Minnesota,http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html,"Weekly Influenza Activity: Statistics",Sporadic,Nov-02-2019,44,2019-20
Mississippi,http://www.msdh.state.ms.us/msdhsite/_static/14%252c0%252c199%252c230.html,"Mississippi Flu Surveillance and Influenza-Like Illness Reports",Local Activity,Nov-02-2019,44,2019-20
Missouri,http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php,"Influenza Data & Statistical Reports ",Sporadic,Nov-02-2019,44,2019-20
Montana,http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx,"Influenza: What You Need to Know",Sporadic,Nov-02-2019,44,2019-20
Nebraska,http://dhhs.ne.gov/Pages/Flu.aspx%20,"Weekly Flu Report",Sporadic,Nov-02-2019,44,2019-20
Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",Local Activity,Nov-02-2019,44,2019-20
New Hampshire,http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm,"Influenza Control and Surveillance",Local Activity,Nov-02-2019,44,2019-20
New Jersey,http://www.nj.gov/health/cd/topics/flu.shtml,"Seasonal Influenza - Surveillance",Sporadic,Nov-02-2019,44,2019-20
New Mexico,https://nmhealth.org/about/erd/ideb/isp/,"Flu in New Mexico",Sporadic,Nov-02-2019,44,2019-20
New York,http://www.health.ny.gov/diseases/communicable/influenza/surveillance/,"Influenza Activity, Surveillance and Reports",Sporadic,Nov-02-2019,44,2019-20
North Carolina,http://www.flu.nc.gov/%20,"North Carolina Influenza Update",Sporadic,Nov-02-2019,44,2019-20
North Dakota,http://www.ndflu.com/default.aspx,"Influenza",Sporadic,Nov-02-2019,44,2019-20
Ohio,http://www.flu.ohio.gov%20,"Influenza Information",Sporadic,Nov-02-2019,44,2019-20
Oklahoma,https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html,"Influenza Information",Sporadic,Nov-02-2019,44,2019-20
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,"Influenza Disease Surveillance Data",Sporadic,Nov-02-2019,44,2019-20
Pennsylvania,https://www.health.pa.gov/topics/disease/Flu/Pages/Flu.aspx%20,"Influenza Weekly Report ",Sporadic,Nov-02-2019,44,2019-20
Rhode Island,http://www.health.ri.gov/data/flu/index.php,"Influenza Surveillance",No Activity,Nov-02-2019,44,2019-20
South Carolina,http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/,"Influenza Activity and Surveillance",Local Activity,Nov-02-2019,44,2019-20
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,"Influenza Information",Sporadic,Nov-02-2019,44,2019-20
Tennessee,http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html,"Influenza-Like Illness Surveillance Summary Archive",Local Activity,Nov-02-2019,44,2019-20
Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,"Influenza Surveillance",Local Activity,Nov-02-2019,44,2019-20
Utah,http://health.utah.gov/epi/diseases/influenza/surveillance/index.html,"Seasonal Influenza Weekly Update",Sporadic,Nov-02-2019,44,2019-20
Vermont,http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance,"Flu Activity",Sporadic,Nov-02-2019,44,2019-20
Virginia,http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/,"Virginia Weekly Influenza Activity Report",Sporadic,Nov-02-2019,44,2019-20
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,"Influenza Update",Sporadic,Nov-02-2019,44,2019-20
West Virginia,https://oeps.wv.gov/flu/pages/flu_data.aspx,"Current Influenza Surveillance",Local Activity,Nov-02-2019,44,2019-20
Wisconsin,http://www.dhs.wisconsin.gov/communicable/influenza/index.htm,"Tracking Influenza in Wisconsin",Sporadic,Nov-02-2019,44,2019-20
Wyoming,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/,"Influenza",Sporadic,Nov-02-2019,44,2019-20
Puerto Rico,http://www.salud.gov.pr/Estadisticas-Registros-y-Publicaciones/Pages/Influenza.aspx,"Puerto Rico Departamento de Salud",Local Activity,Nov-02-2019,44,2019-20
Virgin Islands,http://doh.vi.gov/,"Influenza",Sporadic,Nov-02-2019,44,2019-20
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Nov-09-2019,45,2019-20
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Nov-09-2019,45,2019-20
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Local Activity,Nov-09-2019,45,2019-20
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations",Sporadic,Nov-09-2019,45,2019-20
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)",Widespread,Nov-09-2019,45,2019-20
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance",Local Activity,Nov-09-2019,45,2019-20
Connecticut,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,"Flu Statistics",Local Activity,Nov-09-2019,45,2019-20
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports",Sporadic,Nov-09-2019,45,2019-20
District of Columbia,https://dchealth.dc.gov/flu%20,"Influenza Information",Sporadic,Nov-09-2019,45,2019-20
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports",Regional,Nov-09-2019,45,2019-20
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia",Local Activity,Nov-09-2019,45,2019-20
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,"Hawaii's Influenza Surveillance Program",Local Activity,Nov-09-2019,45,2019-20
Idaho,http://flu.idaho.gov,"Influenza",Sporadic,Nov-09-2019,45,2019-20
Illinois,http://www.dph.illinois.gov/topics-services/diseases-and-conditions/influenza/influenza-surveillance,"Seasonal Influenza Surveillance Reports",Local Activity,Nov-09-2019,45,2019-20
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Regional,Nov-09-2019,45,2019-20
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Local Activity,Nov-09-2019,45,2019-20
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Sporadic,Nov-09-2019,45,2019-20
Kentucky,https://chfs.ky.gov/agencies/dph/dehp/idb/Pages/influenza.aspx,"Influenza - Flu",Local Activity,Nov-09-2019,45,2019-20
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Widespread,Nov-09-2019,45,2019-20
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,"Weekly Surveillance Updates",Sporadic,Nov-09-2019,45,2019-20
Maryland,https://phpa.health.maryland.gov/influenza/fluwatch,"Influenza Surveillance",Widespread,Nov-09-2019,45,2019-20
Massachusetts,https://www.mass.gov/influenza,"Influenza Surveillance Data",Local Activity,Nov-09-2019,45,2019-20
Michigan,http://www.michigan.gov/mdch/0%252c1607%252c7-132-2940_2955_22779_40563_48357-191722--%252c00.html,"Influenza Activity and Surveillance",Sporadic,Nov-09-2019,45,2019-20
Minnesota,http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html,"Weekly Influenza Activity: Statistics",Sporadic,Nov-09-2019,45,2019-20
Mississippi,http://www.msdh.state.ms.us/msdhsite/_static/14%252c0%252c199%252c230.html,"Mississippi Flu Surveillance and Influenza-Like Illness Reports",Local Activity,Nov-09-2019,45,2019-20
Missouri,http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php,"Influenza Data & Statistical Reports ",Sporadic,Nov-09-2019,45,2019-20
Montana,http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx,"Influenza: What You Need to Know",Sporadic,Nov-09-2019,45,2019-20
Nebraska,http://dhhs.ne.gov/Pages/Flu.aspx%20,"Weekly Flu Report",Sporadic,Nov-09-2019,45,2019-20
Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",Regional,Nov-09-2019,45,2019-20
New Hampshire,http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm,"Influenza Control and Surveillance",Regional,Nov-09-2019,45,2019-20
New Jersey,http://www.nj.gov/health/cd/topics/flu.shtml,"Seasonal Influenza - Surveillance",Local Activity,Nov-09-2019,45,2019-20
New Mexico,https://nmhealth.org/about/erd/ideb/isp/,"Flu in New Mexico",Local Activity,Nov-09-2019,45,2019-20
New York,http://www.health.ny.gov/diseases/communicable/influenza/surveillance/,"Influenza Activity, Surveillance and Reports",Local Activity,Nov-09-2019,45,2019-20
North Carolina,http://www.flu.nc.gov/%20,"North Carolina Influenza Update",Local Activity,Nov-09-2019,45,2019-20
North Dakota,http://www.ndflu.com/default.aspx,"Influenza",Local Activity,Nov-09-2019,45,2019-20
Ohio,http://www.flu.ohio.gov%20,"Influenza Information",Sporadic,Nov-09-2019,45,2019-20
Oklahoma,https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html,"Influenza Information",Local Activity,Nov-09-2019,45,2019-20
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,"Influenza Disease Surveillance Data",Local Activity,Nov-09-2019,45,2019-20
Pennsylvania,https://www.health.pa.gov/topics/disease/Flu/Pages/Flu.aspx%20,"Influenza Weekly Report ",Sporadic,Nov-09-2019,45,2019-20
Rhode Island,http://www.health.ri.gov/data/flu/index.php,"Influenza Surveillance",No Activity,Nov-09-2019,45,2019-20
South Carolina,http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/,"Influenza Activity and Surveillance",Local Activity,Nov-09-2019,45,2019-20
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,"Influenza Information",Sporadic,Nov-09-2019,45,2019-20
Tennessee,http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html,"Influenza-Like Illness Surveillance Summary Archive",Regional,Nov-09-2019,45,2019-20
Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,"Influenza Surveillance",Regional,Nov-09-2019,45,2019-20
Utah,http://health.utah.gov/epi/diseases/influenza/surveillance/index.html,"Seasonal Influenza Weekly Update",Sporadic,Nov-09-2019,45,2019-20
Vermont,http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance,"Flu Activity",Sporadic,Nov-09-2019,45,2019-20
Virginia,http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/,"Virginia Weekly Influenza Activity Report",Local Activity,Nov-09-2019,45,2019-20
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,"Influenza Update",Local Activity,Nov-09-2019,45,2019-20
West Virginia,https://oeps.wv.gov/flu/pages/flu_data.aspx,"Current Influenza Surveillance",Sporadic,Nov-09-2019,45,2019-20
Wisconsin,http://www.dhs.wisconsin.gov/communicable/influenza/index.htm,"Tracking Influenza in Wisconsin",Sporadic,Nov-09-2019,45,2019-20
Wyoming,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/,"Influenza",Sporadic,Nov-09-2019,45,2019-20
Puerto Rico,http://www.salud.gov.pr/Estadisticas-Registros-y-Publicaciones/Pages/Influenza.aspx,"Puerto Rico Departamento de Salud",Local Activity,Nov-09-2019,45,2019-20
Virgin Islands,http://doh.vi.gov/,"Influenza",Sporadic,Nov-09-2019,45,2019-20
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Nov-16-2019,46,2019-20
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Nov-16-2019,46,2019-20
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Regional,Nov-16-2019,46,2019-20
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations",Local Activity,Nov-16-2019,46,2019-20
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)",Widespread,Nov-16-2019,46,2019-20
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance",Local Activity,Nov-16-2019,46,2019-20
Connecticut,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,"Flu Statistics",Regional,Nov-16-2019,46,2019-20
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports",Local Activity,Nov-16-2019,46,2019-20
District of Columbia,https://dchealth.dc.gov/flu%20,"Influenza Information",Sporadic,Nov-16-2019,46,2019-20
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports",Regional,Nov-16-2019,46,2019-20
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia",Regional,Nov-16-2019,46,2019-20
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,"Hawaii's Influenza Surveillance Program",Regional,Nov-16-2019,46,2019-20
Idaho,http://flu.idaho.gov,"Influenza",Sporadic,Nov-16-2019,46,2019-20
Illinois,http://www.dph.illinois.gov/topics-services/diseases-and-conditions/influenza/influenza-surveillance,"Seasonal Influenza Surveillance Reports",Local Activity,Nov-16-2019,46,2019-20
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Local Activity,Nov-16-2019,46,2019-20
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Local Activity,Nov-16-2019,46,2019-20
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",Sporadic,Nov-16-2019,46,2019-20
Kentucky,https://chfs.ky.gov/agencies/dph/dehp/idb/Pages/influenza.aspx,"Influenza - Flu",Local Activity,Nov-16-2019,46,2019-20
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Widespread,Nov-16-2019,46,2019-20
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,"Weekly Surveillance Updates",Sporadic,Nov-16-2019,46,2019-20
Maryland,https://phpa.health.maryland.gov/influenza/fluwatch,"Influenza Surveillance",Local Activity,Nov-16-2019,46,2019-20
Massachusetts,https://www.mass.gov/influenza,"Influenza Surveillance Data",Widespread,Nov-16-2019,46,2019-20
Michigan,http://www.michigan.gov/mdch/0%252c1607%252c7-132-2940_2955_22779_40563_48357-191722--%252c00.html,"Influenza Activity and Surveillance",Local Activity,Nov-16-2019,46,2019-20
Minnesota,http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html,"Weekly Influenza Activity: Statistics",Local Activity,Nov-16-2019,46,2019-20
Mississippi,http://www.msdh.state.ms.us/msdhsite/_static/14%252c0%252c199%252c230.html,"Mississippi Flu Surveillance and Influenza-Like Illness Reports",Local Activity,Nov-16-2019,46,2019-20
Missouri,http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php,"Influenza Data & Statistical Reports ",Sporadic,Nov-16-2019,46,2019-20
Montana,http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx,"Influenza: What You Need to Know",Sporadic,Nov-16-2019,46,2019-20
Nebraska,http://dhhs.ne.gov/Pages/Flu.aspx%20,"Weekly Flu Report",Local Activity,Nov-16-2019,46,2019-20
Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",Widespread,Nov-16-2019,46,2019-20
New Hampshire,http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm,"Influenza Control and Surveillance",Local Activity,Nov-16-2019,46,2019-20
New Jersey,http://www.nj.gov/health/cd/topics/flu.shtml,"Seasonal Influenza - Surveillance",Local Activity,Nov-16-2019,46,2019-20
New Mexico,https://nmhealth.org/about/erd/ideb/isp/,"Flu in New Mexico",Regional,Nov-16-2019,46,2019-20
New York,http://www.health.ny.gov/diseases/communicable/influenza/surveillance/,"Influenza Activity, Surveillance and Reports",Local Activity,Nov-16-2019,46,2019-20
North Carolina,http://www.flu.nc.gov/%20,"North Carolina Influenza Update",Local Activity,Nov-16-2019,46,2019-20
North Dakota,http://www.ndflu.com/default.aspx,"Influenza",Local Activity,Nov-16-2019,46,2019-20
Ohio,http://www.flu.ohio.gov%20,"Influenza Information",Sporadic,Nov-16-2019,46,2019-20
Oklahoma,https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html,"Influenza Information",Local Activity,Nov-16-2019,46,2019-20
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,"Influenza Disease Surveillance Data",Regional,Nov-16-2019,46,2019-20
Pennsylvania,https://www.health.pa.gov/topics/disease/Flu/Pages/Flu.aspx%20,"Influenza Weekly Report ",Sporadic,Nov-16-2019,46,2019-20
Rhode Island,http://www.health.ri.gov/data/flu/index.php,"Influenza Surveillance",No Activity,Nov-16-2019,46,2019-20
South Carolina,http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/,"Influenza Activity and Surveillance",Widespread,Nov-16-2019,46,2019-20
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,"Influenza Information",Sporadic,Nov-16-2019,46,2019-20
Tennessee,http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html,"Influenza-Like Illness Surveillance Summary Archive",Regional,Nov-16-2019,46,2019-20
Texas,http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/,"Influenza Surveillance",Regional,Nov-16-2019,46,2019-20
Utah,http://health.utah.gov/epi/diseases/influenza/surveillance/index.html,"Seasonal Influenza Weekly Update",Local Activity,Nov-16-2019,46,2019-20
Vermont,http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance,"Flu Activity",Sporadic,Nov-16-2019,46,2019-20
Virginia,http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/,"Virginia Weekly Influenza Activity Report",Local Activity,Nov-16-2019,46,2019-20
Washington,http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData,"Influenza Update",Local Activity,Nov-16-2019,46,2019-20
West Virginia,https://oeps.wv.gov/flu/pages/flu_data.aspx,"Current Influenza Surveillance",Local Activity,Nov-16-2019,46,2019-20
Wisconsin,http://www.dhs.wisconsin.gov/communicable/influenza/index.htm,"Tracking Influenza in Wisconsin",Local Activity,Nov-16-2019,46,2019-20
Wyoming,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/,"Influenza",Sporadic,Nov-16-2019,46,2019-20
Puerto Rico,http://www.salud.gov.pr/Estadisticas-Registros-y-Publicaciones/Pages/Influenza.aspx,"Puerto Rico Departamento de Salud",Local Activity,Nov-16-2019,46,2019-20
Virgin Islands,http://doh.vi.gov/,"Influenza",Sporadic,Nov-16-2019,46,2019-20
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Nov-23-2019,47,2019-20
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Widespread,Nov-23-2019,47,2019-20
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Regional,Nov-23-2019,47,2019-20
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations",Local Activity,Nov-23-2019,47,2019-20
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)",Widespread,Nov-23-2019,47,2019-20
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance",Regional,Nov-23-2019,47,2019-20
Connecticut,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,"Flu Statistics",Regional,Nov-23-2019,47,2019-20
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports",Local Activity,Nov-23-2019,47,2019-20
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports",Regional,Nov-23-2019,47,2019-20
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia",Regional,Nov-23-2019,47,2019-20
